program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
Youth Employment Services YES - Bloor/Dundas Site - Ontario Employment Services,,416-535-8448,416-535-5369,yes1610@yes.on.ca,www.yes.on.ca,"1610 Bloor St W, Main Fl","Mon-Tue, Thu 9 am-5 pm, Wed 9 am-6 pm, Fri 9 am-4:30 pm",Dianne Brooks - Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employmentYouth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Youth Employment Services YES - Head Office - Ontario Employment Services,,416-504-5516,416-504-4654,yes@yes.on.ca,www.yes.on.ca,"555 Richmond St W, Box 115","Mon, Tue, Thu 9 am-5 pm; Wed 9 am-6 pm; Fri 9 am-4:30 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Connection -- Ontario residents 15-29 years who are eligible to work in Canada, unemployed, not attending school full time and experiencing multiple barriers to employment Youth Job Connection Summer -- Ontario residents 15-18 years who intend to continue high school or go on to postsecondary education after the job placement * focus on those facing challenging life circumstances and at risk of experiencing poor transitions between education and workYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Tropicana Community Services Organization - Employment Centre - Ontario Employment Services,,416-491-7000,416-491-4669,jobs@tropicanaemployment.ca,www.tropicanaemployment.ca,"505 Consumers Rd, Ste 102","Mon, Wed 9 am-5 pm, Tue, Thu 9 am-6:30 pm, Fri 9 am-4 pm",Migdalia Jones - Manager of Programs and Services,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,Focus on youth,English,"East York, North York, Scarborough, Toronto"
Jamaican Canadian Association - CAFCAN Social Services - Ontario Employment Services,,416-746-5772,416-746-7035,info@jcaontario.org,www.jcaontario.org,995 Arrow Rd,"Mon-Fri 9 am-4:30 pm, also Tue 4:30 pm-7 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Arabic ; Twi ; Akan,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
ACCES Employment - North York Location - Ontario Employment Services,,416-443-9008,416-443-0464,info@accesemployment.ca,www.accesemployment.ca,"1500 Don Mills Rd, Ste 102","Office -- Mon - Fri 9 am-5 pm * Resource Centre -- Mon, Tue, Thu, Fri 9 am-5 pm; Wed 9 am-8:30 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Coll̬ge Bor̩al - Ontario Employment Services,,416-365-1562,416-365-3174,jean-marc.ngom@collegeboreal.ca,www.1job.ca/fr,"1 Yonge St, 3rd Floor",Mon-Fri 9 am-5 pm,Lise B̩land - Regional Director - London region,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",French ; French - Designated Agency under the French Language Services Act,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
Labour Education Centre - Ontario Employment Services,,416-537-6532,416-537-6000,info@laboureducation.org,www.laboureducation.org,Ontario Federation of Labour,Mon-Fri 9 am-5 pm,Wendy Tanner - Project Director Employment Services,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Greek ; Portuguese,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Job Bank,Canada. Employment and Social Development Canada,,,,www.jobbank.gc.ca,Workplace Partnerships Directorate,,,,None,Visit website,Canadian residents,English ; French,Canada
VPI Working Solutions - North York - Ontario Employment Services,,416-784-9544,416-784-9117,infolawrence@vpi-inc.com,www.vpi-inc.com,"970 Lawrence Ave W, Ste 203","Mon-Fri 8:30 am-4:30 pm, also Wed 4:30 pm-8 pm",Julie Mehrad - Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; Italian ; Filipino ; Farsi ; Bulgarian,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Miziwe Biik Aboriginal Employment and Training - Ontario Employment Services,,416-591-2310,416-591-3602,reception@miziwebiik.com,www.miziwebiik.com,167 Gerrard St E,Mon-Fri 8:30 am-4:30 pm,Denise Davad - Employment Resource Centre Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Open to all, with focus on Aboriginal peoples",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto District School Board - Downsview Site - Next Steps Employment Centre,,416-395-9559,416-395-9510,nsec-downsview@tdsb.on.ca,www.next-steps.ca,"3701 Chesswood Dr, Ste 100",Mon-Fri 9 am-5 pm,Wilf Flagler - Community Services Coordinator,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,"Call, drop in or email * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto District School Board - Don Mills Site - Next Steps Employment Centre,,416-395-5101,416-395-5102,nsec-donmills@tdsb.on.ca,www.next-steps.ca,Peanut Plaza,Mon-Fri 9 am-5 pm,Chris Christodoulou - Community Service Supervisor,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,"Call, drop in  or email * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto District School Board - Riverdale Site - Next Steps Employment Centre,,416-396-2313,416-396-2308,nsec-riverdale@tdsb.on.ca,www.next-steps.ca,"1000 Gerrard St E, 2nd Fl, Unit DD4",Mon-Fri 9 am-5 pm,Miranda Fray - Community Services Supervisor,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,"Call, drop in or email * for general information on Employment Ontario services call the toll-free Employment Ontario contact centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ","Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
YMCA of Greater Toronto - North York - Ontario Employment Services,,416-635-9622,416-630-0517,,www.ymcagta.org,"4580 Dufferin St, 2nd Fl","Mon, Wed 8:30 am-8 pm, Tue, Thu, Fri 8:30 am-5 pm, Sat 10 am-2 pm",Dunja Metikos - General Manager,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Humber College - Jane and Wilson - Community Employment Services,,416-631-7600,416-631-7499,hcesjw@humber.ca,www.jobs.humber.ca,c/o Gaynor Bramfitt,"Mon-Tue 9 am-4:30 pm, Wed 9 am-7 pm, Thu-Fri 9 am-4:30 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Learning Enrichment Foundation - Employment Ontario Employment Services,,416-769-0830,416-769-9912,info@lefca.org,www.lefca.org,116 Industry St,"Mon-Fri 8 am-5 pm, Sat 8:30 am-12:30 pm",,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; Italian ; Spanish ; Polish ; Arabic ; Punjabi ; Ukrainian ; Portuguese ; Russian ; Urdu ; Somali ; Hindi ; Filipino ; Chinese (Mandarin) ; Farsi ; Tamil ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Centre for Education & Training - Toronto Don Mills Services - Ontario Employment Services,,416-444-8744 ext 5309,416-444-8007,donmills@tcet.com,www.tcet.com/jobs,RBC Building,Mon-Fri 9 am-4 pm,Shelley Lowe - Resource and Information Specialist,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * employers may submit Canada-Ontario Job Grant online applications to this site -- call for details * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
COSTI Immigrant Services - Jane Street Hub Satellite Location - Ontario Employment Services,,416-645-7575 ext 4,,janehubemployment@costi.org,www.costi.org,1541 Jane St,Mon-Fri 9 am-5 pm,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Somali ; Chinese (Mandarin) ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Centre for Education & Training - Toronto Parliament Services - Ontario Employment Services,,416-964-9797 press 1,416-964-6112,parliament@tcet.com,www.tcet.com/jobs,"595 Parliament St, Main Fl",Mon-Fri 9 am-4 pm,Suelian White - Resource and Information Specialist,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * employers may submit Canada-Ontario Job Grant online applications to this site -- call for details * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
COSTI Immigrant Services - Weston Employment Services Centre - Ontario Employment Services,,416-588-2240,416-244-2583,westonemployment@costi.org,www.costi.org,Weston Square,Mon-Fri 8:30 am-4:30 pm,,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in CanadaEmployers can get help in identifying their human resource skill requirements, matching of position/workplace needs to participants' skills, capabilities, interests and experience, and support for developing on-the-job training plans and monitoring of placements to support success and retention",English ; Portuguese ; Romanian ; Chinese (Mandarin),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
"Toronto Community Employment Services, Employment Ontario Office - Ontario Employment Services",,416-488-0084 ; Employment programs 416-488-0084 ext 201,416-488-3743,service@tces.on.ca,www.toronto-jobs.org,"150 Eglinton Ave E, Ste 807","Mon-Fri 8:30 am-4:30 pm, also Wed 4:30 pm-6 pm",Laila Imeish - Executive Director,"Comprehensive employment and job search services * assessment of skills, interests and experience * job search strategies, including resume preparation * information about careers and occupations,",None,Call or drop in * for general information on Employment Ontario services call the toll-free Employment Ontario Contact Centre at 1-800-387-5656 (TTY 1-866-533-6339) or visit ,"Self-service information and resources -- anyone, including people with jobs, those who are under-employed, people looking for work, students, apprentices, internationally trained individuals, employersAssisted services (such as supported job search, job matching and placement, job retention services) -- people who are unemployed and out of schoolYouth Job Link -- Self-service information and resources, any youth 15-29 years, including students * Job matching services, youth 15-29 years, including students, who reside in Ontario and are eligible to work in Canada",English ; French,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
